English,Punjabi,Time
Man baanchhat phal paavai soee|| Dookh na tisai biaapat koee||27|,mn bWCq Pl pwvY soeI ] dUK n iqsY ibAwpq koeI ]27],197
Arhil,AiV`l ],201
Sunai gung jo yaahe su rasnaa paavaee|| Sunai moorh chit laae chaturtaa aavaee|| Dookh dard bhau nikath na tin nar ke rahai|| Ho jo yaaki ek baar chaupai ko kahai||28||,SunY guMg jo Xwih su rsnw pwveI ] sunY mUV icq lwie cqurqw AwveI ] dUK drd BO inkt n iqn nr ky rhY ] ho jo XwkI eyk bwr cOpeI ko khY ]28],202
Chaoupai,cOpeI ],221
Sanbhat satrah sahas bhanijai|| Aradh sahas phun teen kahijai|| Bhaadrav sudi ashtami ravi vaaraa|| Teer satuddrav granth sudhaaraa||29||,SMbq s`qRh shs Bix`jY ] ArD shs Puin qIin kih`jY ] BwdRv sudI AstmI riv vwrw ] qIr squ`dRv gRMQ suDwrw ]29],223
Swaiyaa,sÍYXw ],230
Paahe gahe jab te tumre tab te kou aankh tare nahi aanyo||,pWie ghy jb qy qumry qb qy koaU AWK qry nhIN AwnÎo ],232
Raam Raheem Puraan Kuraan aneyk kahai mat eyk na maanyo||,rwm rhIm purwn kurwn Anyk khYN mq eyk n mwnÎo ],238
Sinmrit Shaastra Bed sabhai bahu bhed kahai ham ek naa jaanyo||,isMimRiq swsqR byd sBY bhu Byd khYN hm eyk n jwnÎo ],244
Sri asipaan kripaa tumri kar mai na kahyo sabh tohe bakhaanyo,sRI Aispwn ik®pw qumrI kir mY n khÎo sB qoih bKwnÎo ],250
Dohraa,dohrw ],256
Sagal duaar kau chhaad kai gahyo tuhaaro duaar||,sgl duAwr kau Cwif kY gihE quhwro duAwr ],259
Bahe gahe ki laaj as Gobind daas tuhaar,bWih ghy kI lwj As goibMd dws quhwr ],265
