English,Punjabi,Time
Jiv jite jal mai thal mai pal hi pal mai sabh thap thapainge.,jIv ijqy jl mY Ql mY pl hI pl mY sB Qwp QpYNgy ],113
Punn pratapan badhat jai dhun papan ke bahu punj khapainge.,puMn pRqwpn bwF jYq Dun pwpn ky bhu puMj KpYNgy ],117
Sadh samuh prasann phiria jag satr sabhai avlok chaipainge.,swD smUh pRsMn iPrY jg sqR sBY Avlok cpYNgy ]7],120
Manav indr gajindr naradhap jon trilok ko rak karainge.,mwnv ieMdR gijMdR nrwDp jOn iqRlok ko rwj krYNgy ],124
Kot isnan gajadik dan anek suanbar saj barainge.,koit iesnwn gjwidk dwn Anyk suAMbr swj brYNgy ],128
Brahm mahesar bisan sachipat ant phase jam phas parainge.,bRhm mhysr ibsn scIpiq AMq Psy jm Pws prYNgy ],132
Je nar siri pat ke pras hain pag te nar pher na deh dharainge.,jy nr sRI piq ky pRs hYN pg qy nr Pyr n dyh DrYNgy ]8],135
Kaha bhayo jo dou lochan mund kai baith rahio bak dhian lagaeo.,khw BXo jo doaU locn mUMd kY bYiT rohE bk iDAwn lgwieE ],140
Nhat phirio leeai sat samundran lok gayo parlok gavaio.,nHwq iPirE lIey swq smudRin lok gXo prlok gvwieE ],144
Bas kio bikhian so baith kai aise hi aise su bais bitaio.,bws kIE ibiKAwn so bYT kY AYsy hI AYsy su bYs ibqwieE ],148
Sach kahon sun leho sabai jin prem kio tin hee prabh paio.,swcu khoN sun lyhu sBY ijn pRym kIE iqn hI pRB pwieE ]9],152
Kahu lai pahan puj dhario sir kahu lai ling gare latkaio.,kwhU lY pwhn pUj drXo isr kwhU lY ilµg gry ltkwieE ],156
Kahu likhio har avachi disa meh kahu pachhah ko sis nivaio.,kwhU liKE hir AvwcI idsw mih kwhU pCwh ko sIsu invwieE ],160
Kauo butan ko pujat hai pas kou mritan ko pujan dhaio.,koaU buqwn ko pUjq hY psu koaU imRqwn ko pUjn DwieE ],164
Kur kria urjhio sabh hi jag sri bhagwan ko bhed na paio.,kUr ik®Aw auriJE sB hI jg sRI Bgvwn ko Bydu n pwieE ]10],171
