English,Punjabi,Time
tireman hain. nidhan hain| tirburg hain| asarg hain. (32),iqRmwn hYN ] inDwn hYN ] iqRbrg hYN ] Asrg hYN ]32],247
anil hain| anadi hain| ajai hain| ajadi hain. (33),AnIl hYN ] Anwid hYN ] Ajy hYN ] Ajwid hYN ]33],251
ajanam hain| abarn hain| abhoot hain| abharan hain. (34),Ajnm hYN ] Abrn hYN ] ABUq hYN ] ABrn hYN ]34],256
agunj hain| abhunj hain| ajoojh hain| ajhunjh hain. (35),AgMj hYN ] ABMj hYN ] AJUJ hYN ] AJMJ hYN ]35],260
amik hain| rafiq hain| adhundh hain| abundh hai. (36),AmIk hYN ] r&Ik hYN ] ADMD hYN ] AbMD hYN ]36],264
nirboojh hain| asoojh hain| akal hain| ajal hain. (37),inRbUJ hYN ] AsUJ hYN ] Akwl hYN ] Ajwl hYN ]37],267
alah hain| ajah hain| anunt hain| mahunt hain. (38),Alwh hYN ] Ajwh hYN ] Anµq hYN ] mhMq hYN ]38],271
aleek hain| nirsrik hain| nirlumbh hain| asumbh hain. (39),AlIk hYN ] inRsIk hYN ] inRlµB hYN ] AsMB hYN ]39],275
agum hain| ajum hain| abhoot hai| achoot hain. (40),AgMm hYN ] AjMm hYN ] ABUq hYN ] ACUq hYN ]40],279
alok hain| ashok hain| akaram hain| abharm hain. (41),Alok hYN ] Asok hYN ] Akrm hYN ] ABrm hYN ]41],283
ajit hain| abheet hain| atha hain| agah hain. (42),AjIq hYN ] ABIq hYN ] Abwh hYN ] Agwh hYN ]42],287
aman hain| nidhan hain| anaik hain| phir aik hain. (43),Amwn hYN ] inDwn hYN ] Anyk hYN ] iPr eyk hYN ]43],291
BHUJUNG PARYAT CHUND,BujMg pRXwq CMd ],294
namo sarb manai| smasti nidhanai,nmo srb mwny ] smsqI inDwny ],296
namo dev devai| abhaikhi abhaivai. (44),nmo dyv dyvy ] AByKI AByvy ]44],300
namo kal kalai| namo sarb palai.,nmo kwl kwly ] nmo srb pwly ],303
namo sarb gounai| namo sarb bhounai. (45),nmo srb gauxy ] nmo srb Bauxy ]45],307
anungi anathai| nirsungi parmathai,AnµgI AnwQy ] inRsMgI pRmwQy ],310
namo bhan bhanai| namo man manai. (46),nmo Bwn Bwny ] nmo mwn mwny ]46],314
namo chundar chundrai| mamo bhan bhanai,nmo cMdR cMdRy ] nmo Bwn Bwny ],318
namo geet geetai | namo tan tanai. (47),nmo gIq gIqy ] nmo qwn qwny ]47],322
namo nirat nirtai| namo nad nadai,nmo inrq inrqy ] nmo nwd nwdy ],325
namo pan panai| namo bad badai. (48),nmo pwn pwny ] nmo bwd bwdy ]48],329
anungi anamai| smusti sroopai,AnµgI Anwmy ] smsqI srUpy ],333
parbhungi parmathai| smusti bebhootai. (49),pRBMgI pRmwQy ] smsqI ibBUqy ]49],336
klunkun bina| naiklunki sroopai.,klµkM ibnw ny klµkI srUpy ],340
namo raj rajai svrun parm roopai. (50),nmo rwj rwjy sÍrM prm rUpy ]50],344
namo jog jogai| svrun parm sidhai.,nmo jog jogy sÍrM prm is`Dy ],347
namo raj rajai| svrun parm birdhai. (51),nmo rwj rwjy sÍrM prm ibRDy ]51],351
namo sustar panai| namo astar manai.,nmo ssqR pwxy ] nmo AsqR mwxy ],355
namo parm gayata| namo lok mata. (52),nmo prm igAwqw ] nmo lok mwqw ]52],359
abhaikhi abharmi abhogi abhugtai,AByKI ABrmI ABogI ABugqy ],362
namo jog jogai svrun parm jugtai. (53),nmo jog jogy sÍrM prm jugqy ]53],366
namo nit narayanai karoor karmai,nmo in`q nwrwiexy k®¨r krmy ],370
namo prait aprait daivai sodharmai. (54),nmo pRyq ApRyq dyvy suDrmy ]54],373
namo rog harta| namo rag roopai.,nmo rog hrqw ] nmo rwg rUpy ],380
namo shah shahai| namo bhoop bhoopai. (55),nmo swh swhM ] nmo BUp BUpy ]55],382
namo dan danai|namo maun maunai,nmo dwn dwny ] nmo mwn mwny ],384
namo rog rogai| namustun eisnanun. (56),nmo rog rogy nmsqM iesnwnµ ]56],388
namo muntar muntrun| namo juntar juntrun,nmo mMqR mMqRM ] nmo jMqR jMqRM ],392
namo eist eistai| namo tuntar tuntrun. (57),nmo iest iesty ] nmo qMqR qMqRM ]57],396
sada sachdanund sarbun pransi,sdw s`cdwnµd srbM pRxwsI ],399
anoopai sroopai smustul nivasi. (58),AnUpy ArUpy smsquil invwsI ]58],403
sada sidhi -da budhi -da bridhi karta,sdw isDdw buDdw ibRD krqw ],406
adho oordh ardhun aghun ogh harta (59),ADo aurD ArDM AGM EG hrqw ]59],410
prun parm parmesaisvrun proch palun,prm prm prmysÍrM pRoC pwlµ ],413
sada sarbda sidhi data dyalun. (60),sdw srbdw is`D dwqw idAwlµ ]60],417
achaidi abhaidi anamun akamun,ACydI ABydI AnwmM AkwmM ],421
smasto praji smastsut dhamun. (61),smsqo prwjI smsqsqu DwmM ]61],425
TERA JOR. CHACHERI CHHUND,qyrw joru ] cwcrI CMd ],429
jalai hain| thalai hain| abheet hain| abhai hain. (62),jly hYN ] Qly hYN ] ABIq hYN ] ABy hYN ] ]62],431
parbhu hain| aju hain| adais hain| abhais hain. (63),pRBU hYN ] AjU hYN ] Adys hYN ] ABys hYN ]63],435
BHUJUNG PARYAT CHHUND,BujMg pRXwq CMd ],439
agadhai| abadhai| anundi sroopai.,AgwDy AbwDy ] AnµdI srUpy ],441
namo sarb manai| smusti nidhanai. (64),nmo srb mwny ] smsqI inDwny ]64],445
namustvun nirnathai| namustvun parmathai,nmsqÍM inRnwQy ] nmsqÍM pRmwQy ],448
namustvun agunjai| namustvun abhunjai. (65),nmsqÍM AgMjy ] nmsqÍM ABMjy ]65],452
namustvun akalai| namustvun apalai.,nmsqÍM Akwly ] nmsqÍM Apwly ],455
namo sarb daisai| namo sarb bhaisai. (66),nmo srb dysy ] nmo srb Bysy ]66],459
namo raj rajai| namo saj sajai.,nmo rwj rwjy ] nmo swj swjy ],462
namo shah shahai| namo mah mahai. (67),nmo Swh Swhy ] nmo mwh mwhy ]67],466
namo geet geetai| namo preeet preetai.,nmo gIq gIqy ] nmo pRIq pRIqy ],469
namo rokh rokhai| namo sokh sokhai. (68),nmo roK roKy ] nmo soK soKy ]68],472
namo sarb rogai| namo sarb bhogai.,nmo srb rogy ] nmo srb Bogy ],476
namo sarb jeetun| namo sarb bheetun. (69),nmo srb jIqM ] nmo srb BIqM ]69],480
namo sarb gyanun| namo parm tanun,nmo srb igAwnµ ] nmo prm qwnµ ],483
namo sarb muntrun| namo sarb juntrun. (70),nmo srb mMqRM ] nmo srb jMqRM ]70],487
namo sarb dirsun| namo sarb kirsun.,nmo srb idR`sM ] nmo srb ik®`sM ],490
namo sarb runrungai| tirbhungi anungai. (71),nmo srb rMgy ] iqRBMgI Anµgy ]71],494
namo jiv jeevai| namo bij bijai.,nmo jIv jIvM ] nmo bIj bIjy ],497
akhiji abhijai| smustun parsijai. (72),AiK`jy AiB`jy ] smsqM pRis`jy ]72],501
kirpalun sroopai kukarmun parnasi.,ik®pwlµ srUpy ] kukrmM pRxwsI ],504
sada sarbda ridhi sidhun nivasi. (73),sdw srbdw iriD isDM invwsI ]73],508
CHURPAT CHHUND. TAV PARSAD (BY YOUR GRACE),crpt CMd ] qÍ pRswid ],511
amrit karmai| abrit dharmai|,AMimRq krmy ] AMibRq Drmy ],514
akhal jogai| achal bhogai. (74),AK`l jogy ] Ac`l Bogy ]74],515
achal rajai| atal sajai|,Ac`l rwjy ] At`l swjy ],517
akhal dharmun| alakh kamun. (75),AK`l DrmM ] Al`K krmM ]75],520
sarbun data| sarbun giyata|,srbM dwqw ] srbM igAwqw ],522
sarbun bhanai| sarbun manai (76),srbM Bwny ] srbM mwny ]76],524
sabun pranun| sabun tranun|,srbM pRwxM ] srbM qRwxM ],526
sarbun bhugta sarbun jugta. (77),srbM Bugqw ] srbM jugqw ]77],528
sabun devun| sarbun bhavun|,srbM dyvM ] srbM ByvM ],531
sarbun kalai| sarbun palai. (78),srbM kwly ] srbM pwly ]78],533
ROOAL CHHUND. TAV PARSAD (BY YOUR GRACE),rUAwl CMd ] qÍ pRswid ],536
adi roop anadi moorat ajoni purkh apar.,Awid rUp Anwid mUriq Ajoin purK Apwr ],538
sarb maun trimaun dev abhaiv adi oodar.,srb mwn iqRmwn dyv AByv Awid audwr ],542
sarb palak sarb ghalak sarb ko puni kal.,srb pwlk srb Gwlk srb ko puin kwl ],545
jatar tatar birajhi avdhoot roop rasal. (79),j`qR q`qR ibrwjhI AvDUq rUp irswl ]79],549
nam tham na jati jakar roop rung na raikh,nwm Twm n jwq jwkr rUp rMg n ryK ],552
adi purkh odhar moorat ajoni adi asaikh,Awid purK audwr mUriq Ajoin Awid AsyK ],556
dais aur na bhais jakar roop raikh na rag,dys AOr n Bys jwkr rUp ryK n rwg ],561
jatar tatar disa visa hoeh phailio anurag. (80),j`qR q`qR idsw ivsw huie PYilE Anurwg ]80],565
nam kam beheen paikhat dham hoon neh jaeh.,nwm kwm ibhIn pyKq Dwm hUM nih jwih ],569
sarb maun| sarbatar maun| sdev manat taeh,srb mwn srb`qR mwn sdYv mwnq qwih ],573
aik moorat anaik darsan| keen roop anaik,eyk mUriq Anyk drsn kIn rUp Anyk ],578
khail khaile| akhail khailun| aunt ko phir aik. (81),Kyl Kyl AKyl Kyln AMq ko iPr eyk ]81],581
dev bhive na janhi jeh baid aur kataib.,dyv Byv n jwnhI ijh byd Aaur kqyb ],585
roop rung na jati pati so janhi keh jaib,rUp rMg n jwiq pwiq su jwneI ikh jyb ],590
tat mat na jati jakar jnam mran beheen,qwq mwq n jwq jwkir jnm mrn ibhIn ],594
chakar bakar phirai chatur chak manhi pur teen. (82),c`k® b`k® iPrY cqR` c`k mwnhI pur qIn ]82],598
lok chaudah kai bikhai jug japhi jeh japu.,lok caudh ky ibKY jg jwphI ijh jwp ],602
adi dev anadi mooret thapio sabai jeh thap.,Awid dyv Anwid mUriq QwipE sbY ijh Qwp ],606
parm roop pooneet mooret pooran purkh apar.,prm rUp punIq mUriq pUrn purKu Apwr ],610
sarb bisv rachio soyunbhv garhan bhunjnhar. (83).,srb ibsÍ ricE suXMBv gVn BMjnhwr ]83],614
kal heen kla sunjugat akal purkh adais.,kwl hIn klw sMjugiq Akwl purK Adys ],617
dharam dham so bharm rehat abhoot alakh abhais.,Drm Dwm su Brm rihq ABUq AlK ABys ],621
aung rag na rung jakeh jati pati na nam.,AMg rwg n rMg jwkh jwiq pwiq n nwm ],626
garb gunjan dust bhunjan mukat daeik kam. (84),grb gMjn dust BMjn mukiq dwiek kwm ]84],630
aap roop ameek an-ostat aik purkh avdhoot,Awp rUp AmIk An ausqiq eyk purK AvDUq ],634
garb ganjan sarb bhanjan adi roop asoot,grb gMjn srb BMjn Awid rUp AsUq ],638
aung heen abhung anatam aik purkh apar,AMg hIn ABMg Anwqm eyk purK Apwr ],641
sarb laeik sarb ghaeik sarb ko pritpar. (85),srb lwiek srb Gwiek srb ko pRiqpwr ]85],645
Sarab ganta sarab hanta saran tey anbhekh,srb gMqw srb hMqw srb qy AnByK ],649
sarab sastak na jaa nahi je roop rang ar rekh,srb swsqR n jwnhI ijh rUp rMg Aru ryK ],653
param bedh puraan jakh net bhakhat nit,prm byd purwx jwkih nyq BwKq in`q ],657
kot simrat puraan sastak na aawaiye va chit (86),koit isMimRiq purwn swsqR n AwveI vhu ic`iq ]86],662
MUDHBHAR CHHUND. TAV PARSAD (BY YOUR GRACE),mDuBwr CMd ] qÍ pRswid ],665
gun gan oodar| mehma apar.,gun gn audwr ] mihmw Apwr ],668
aasan abhung| oopma anung. (87),Awsn ABMg ] aupmw Anµg ]87],672
anbhav parkas| nis din anas.,AnBau pRkws ] insidn Anws ],675
aajan baho| shahan shah. (88),Awjwn bwhu ] swhwn swhu ]88],678
rajan raj| bhanan bhanu.,rwjwn rwj ] Bwnwn Bwn ],682
daivan dev| oopma mahan. (89),dyvwn dyv ] aupmw mhwn ]89],686
indran inder| balan bal|,ieMdRwn ieMdR ] bwlwn bwl ],690
runkan runk| kalan kal. (90),rMkwn rMk ] kwlwn kwl ]90],694
anbhoot aung| aabha abhung|,AnBUq AMg ] AwBw ABMg ],698
kati mit apar| gun gan oodar. (91),giq imiq Apwr ] gun gn audwr ]91],702
muni gan parnam| nirbhai nikam,muin gn pRnwm ] inrBY inkwm ],706
ati duti parchund| miti gati akhund. (92),Aiq duiq pRcMf ] imiq giq AKMf ]92],711
aalisiay karm| aadirsay dharam,AwilsÎ krm ] AwidRsÎ Drm ],715
sarba bharnadhay| andund badhay (93),srbw BrxwFX ] AnfMf bwFX ]93],718
