English,Punjabi,Time
nechint hain| sonent hain| alikh hain| adikh hain. (138),inicMq hYN ] suinµq hYN ] Ail`K hYN ] Aid`K hYN ]138],1025
alaikh hain| abhaikh hain| adhah hain| agah hain. (139),AlyK hYN ] AByK hYN ] AFwh hYN ] Agwh hYN ]139],1028
asubh hain| agunbh hain| aneel hain| anadi hain. (140),AsMB hYN ] AgMB hYN ] AnIl hYN ] Anwid hYN ]140],1032
anit hain| sunit hain| ajat hain| ajadi hain. (141),Ain`q hYN ] suin`q hYN ] Ajwq hYN ] Ajwd hYN ]141],1036
CHACHERI CHHUND TAV PARSAD (BY YOUR GRACE),crpt CMd ] qÍ pRswid ],1039
sarbun hunta| sarbun gunta|,srbM hMqw ] srbM gMqw ],1042
sabun khiaata| sarbun giaata. (142),srbM iKAwqw ] srbM igAwqw ]142],1044
sarbun hunta| sarbun karta|,srbM hrqw ] srbM krqw ],1047
sarbun pranun| sarbun tranun. (143),srbM pRwxM ] srbM qRwxM ]143],1049
sabun karmun sabun dharmun|,srbM krmM ] srbM DrmM ],1051
sabun jugta| sabun mukta (144),srbM jugqw ] srbM mukqw ]144],1053
RASAVAL CHHUND TAV PARSAD (BY YOUR GRACE),rswvl CMd ] qÍ pRswid ],1056
namo sarb nasai| sdaivai prkasai,nmo nrk nwsy ] sdYvM pRkwsy ],1058
anungun sroopai| abhungun bebhootai (145),AnµgM srUpy ] ABMgM ibBUqy ]145],1061
prmathun prmathai| sda sarb sathai,pRmwQM pRmwQy ] sdw srb swQy ],1064
agadh sroopai| nirbadh bebhootai. (146),AgwD srUpy ] inRbwD ibBUqy ]146],1068
anungi anamai| titbhungi tirkamai,AnµgI Anwmy ] iqRBMgI iqRkwmy ],1071
nirbhungi sroopai| srbungi anoopai. (147),inRBMgI srUpy ] srbMgI AnUpy ]147],1075
na potrai na putrai| na strai na mitrai.,n poqRY n pu`qRY ] n s`qRY n imqRY ],1078
na tatai na matai| na jatai na patai. (148),n qwqY n mwqY ] n jwqY n pwqY ]148],1083
nirsakun sreek hain| aunmto ameek hai,inRswkM srIk hYN ] Aimqo AmIk hYN ],1086
sdaivun prabha hain| ajai hain aja hain. (149),sdYvM pRBw hYN ] AjY hYN Ajw hYN ]149],1090
BHAGWATI CHHUND TAV PARSAD (BY YOUR GRACE),BgvqI CMd ] qÍ pRswid ],1093
keh zihr zhoor hain| keh hazr hzoor hain.,ik zwhr zhUr hYN ] ik hwzr jzUr hYN ],1096
hmaisul slam hain| smstul klam hain. (150),hmysul slwm hYN ] smsqul klwm hYN ]150],1097
keh sahib demag hain| keh husnul charag hain.,ik swihb idmwZ hYN ] ik husnl crwZ hYN ],1102
keh kamal krim hain| keh razak rheem hain. (151),ik kwml krIm hYN ] ik rwzk rhIm hYN ]151],1105
keh roji dehind hain| keh razak rhind hain,ik rozI idihMd hYN ] ik rwzk rihMd hYN ],1109
kreemul kamal hain| keh husnul jamal hain. (152),krImul kmwl hYN ] ik husnl jmwl hYN ]152],1112
gnimul kheraj hain| greebul nivaj hain,ZnImul i^rwj hYN ] ZrIbul invwz hYN ],1116
hreephul shikun hain| herasul phekun hain. (153),hrI&ul iSkMn hYN ] ihrwsul iPkMn hYN ]153],1119
klunkun prnas hain| smstul nivas hain.,klµkM pRxws hYN ] smsqul invws hYN ],1123
agunjul gneem hain| rzaeik rheem hain. (154),AgMjul gnIm hYN ] rzwiek rhIm hYN ]154],1127
smstul zban hain|keh sahib keran hain,smsqul jubW hYN ] ik swihb ikrW hYN ],1130
keh narkun prnas hain| behshtul nivas hain. (155),ik nrkM pRxws hYN ] bihsqul invws hYN ]155],1134
keh sarbul gvnun hain| hamaisul rvun hain.,ik srbul gvMn hYN ] hmysul rvMn hYN ],1137
tmamul tmeez hain| smstul aziz hain. (156),qmwmul qmIz hYN ] smsqul AzIz hYN ]156],1141
prun prm eis hain| smstul adees hain.,prM prm eIs hYN ] smsqul AdIs hYN ],1145
adaisul alaikh hain| hmaishul abhaikh hain. (157),Adysul AlyK hYN ] hmysul AByK hYN ]157],1149
zmeenul zma hain| ameekul eima hain,zmInul zmw hYN ] AmIkul iemw hYN ],1152
kreemul kmal hain| keh jurat jmal hain. (158),krImul kmwl hYN ] ik jurAiq jmwl hYN ]158],1155
keh achlun prkash hain| keh amito sobas hain,ik Aclµ pRkws hYN ] ik Aimqo subws hYN ],1159
keh ajb sroop hain| keh amito bebhooti hain. (159),ik Ajb srUp hYN ] ik Aimqo ibBUq hYN ]159],1163
keh amito psa hain| keh aatm prbha hain,ik Aimqo psw hYN ] ik Awqm pRBw hYN ],1166
keh achlun anung hain| keh amito abhung hain. (160),ik Aclµ Anµg hYN ] ik Aimqo ABMg hYN ]160],1170
MDHUBHAR CHHUND TAV PARSAD (BY YOUR GRACE),mDuBwr CMd ] qÍ pRswid ],1174
muni muni prnam| gun gn mudam,muin min pRnwm ] guin gn mudwm ],1176
ari br agunj| hrinar prbhunj. (161),Air br AgMj ] hir nr pRBMj ]161],1180
angn prnam| muni mun slam,An gn pRnwm ] muin min slwm ],1183
har nar akhund| bur nur amund. (162),hir nr AKMf ] br nr AmMf ]162],1186
anbhav anas| muni mun parkas,AnBv Anws ] muin min pRkws ],1190
gun gun prnam| jal thal mudam. (163),guin gn pRnwm ] jl Ql mudwm ]163],1194
anchij aung| aasan abhung.,AniC`j AMg ] Awsn ABMg ],1198
oopma apar| gati mit oodar. (164),aupmw Apwr ] giq imiq audwr ]164],1201
jal thal amund| dis vis abhund.,jl Ql AmMf ] ids ivs ABMf ],1205
jal thal mhunt| dis vis baiaunt. (165),jl Ql mhMq ] ids ivs ibAMq ]165],1209
naubhv anas| dhirti dhar dhuras.,AnBv Anws ] iDRq Dr Durws ],1212
aajan bah| aikai sdahu. (166),Awjwn bwhu ] eykY sdwhu ]166],1216
Oaunkar adi| kthni anadi.,EAMkwr Awid ] kQnI Anwid ],1220
khal khund khial| gur bur akal. (167),Kl KMf iKAwl ] gurbr Akwl ]167],1224
ghar ghar prnam| chiti charn namu.,Gr Gir pRnwm ] icq crn nwm ],1227
aachij gat| aajij na bat. (168),AniC`j gwq ] Awijj n bwq ]168],1232
anjhunj gat| anrunj bat.,AnJMJ gwq ] AnrMj bwq ],1236
antut bhundar| antht apar. (169),Antut BMfwr ] AnTt Apwr ]169],1239
aadeeth dharam| ati dheeth karm.,AwfIT Drm ] Aiq FIT krm ],1243
anbrn anunt| data mhunt. (170),AxbRx Anµq ] dwqw mhMq ]170],1246
HARBOLMANA CHHUND TAV PARSAD (BY YOUR GRACE),hirbolmnw CMd ] qÍ pRswid ],1250
karunalay hain| ari ghalay hain.,kruxwlX hYN ] Air GwlX hYN ],1253
khal khandan hain| meh mundan hain.(171),Kl KMfn hYN ] mih mMfn hYN ]171],1255
jugtaisver hain| prmaisver hain.,jgqysÍr hYN ] prmysÍr hYN ],1258
kli karan hain| sarb oobaran hain. (172),kil kwrx hYN ] srb aubwrx hYN ]172],1260
dhirt kai dharan hain| jug kai krn hain.,iDRq ky Drx hYN ] jg ky krx hYN ],1263
mun maniay hain jug janniay hain. (173),mn mwinX hYN ] jg jwinX hYN ]173],1265
sabun bhar hain| sabun kur hain.,srbM Br hYN ] srbM kr hYN ],1268
sarb pasiay hain| sarb nasiay hain. (174),srb pwisX hYN ] srb nwisX hYN ]174],1271
krunakr hain| besvunbhr hain.,kruxwkr hYN ] ibsÍMBr hYN ],1273
srbaisver hain| jgtaisver hain. (175),srbysÍr hYN ] jgqysÍr hYN ]175],1275
brhmundas hain| khal khundas hain.,bRhmMfs hYN ] Kl KMfs hYN ],1278
pur tai pur hain| krunakr hain. (176),pr qy pr hYN ] kruxwkr hYN ]176],1280
ajpajp hain| athpathp hain.,Ajpw jp hYN ] AQpw Qp hYN ],1283
akirtakirti hain| aumritamirt hain. (177),Aik®qw ik®q hYN ] AimRqw imRq hYN ]177],1285
amiritamrit hain| krunakirti hain.,AMimRqw imRq hYN ] krxw ik®q hYN ],1288
akirtakirti hain| dhurni dhirti hain. (178),Aik®qw ik®q hYN ] DrxI iDRq hYN ]178],1290
ametaisver hain| prmaisver hain.,AimRqysÍr hYN ] prmysÍr hYN ],1292
akirtakirt hain| amirtamirt hain. (179),Aik®qw ik®q hYN ] AimRqw imRq hYN ]179],1295
ajbakirt hain| amirtamirt hain.,Ajbw ik®q hYN ] AimRqw imRq hYN ],1297
nar naeik hain| khal ghaeik hain. (180),nr nwiek hYN ] Kl Gwiek hYN ]180],1300
besvunbhur hain| krunalay hain.,ibsÍMBr hYN ] kruxwlX hYN ],1302
nirpnaeik hain| sarb paeik hain. (181),inRp nwiek hYN ] srb pwiek hYN ]181],1304
bhav bhunjan hain| ari gujan hain.,Bv BMjn hYN ] Air gMjn hYN ],1307
ripu tapan hain| jup japn hain. (182),irpu qwpn hYN ] jpu jwpn hYN ]182],1308
aklunkit hain| sarbakirti hain.,Aklµ ik®q hYN ] srbw ik®q hYN ],1311
karta kar hain| harta hur hain. (183),krqw kr hYN ] hrqw hir hYN ]183],1314
prmatm hain| sarbatm hain.,prmwqm hYN ] srb Awqm hYN ],1316
aatm bus hain| jus kai jus hain. (184),Awqm bs hYN ] js ky js hYN ]184],1318
BHUYUNG PRYAT CHHUND,BujMg pRXwq CMd ],1320
namo sooraj soorjai amo chund chundrai,nmo sUrj sUrjy nmo cMdR cMdRy ],1322
namo raj rajai namo eindr eindrai.,nmo rwj rwjy nmo ieMdR ieMdRy ],1327
namo audhkarai namo taij taijai,nmo AMDkwry nmo qyj qyjy ],1330
namo birund birundai namo bij bijai. (185),nmo ibMRd ibMRdy nmo bIj bIjy ]185],1334
namo rajsun tamsun sant roopai,nmo rwjsM qwmsM sWq rUpy ],1337
namo prm tutai atutun sroopai,nmo prm q`qM Aq`qM srUpy ],1340
namo jog jogai namo gian gianai,nmo jog jogy nmo igAwn igAwny ],1343
namo muntrun muntrai namo dhian dhianai. (186),nmo mMqR mMqRy nmo iDAwn iDAwny ]186],1347
namo judh judhai namo gian gianai.,nmo juD juDy nmo igAwn igAwny ],1349
namo bhoj bhojai namo pan panai.,nmo Boj Bojy nmo pwn pwny ],1354
namo kleh karta namo santi roopai.,nmo klh krqw nmo sWq rUpy ],1357
namo einder eindrai anandun bebhootai. (187),nmo ieMdR ieMdRy AnwdM ibBUqy ]187],1362
klunkar roopai alunkar alunkai.,klµkwr rUpy Alµkwr Alµky ],1365
namo aas aasai namo bank bunkai.,nmo Aws Awsy nmo bWk bMky ],1369
abhungi sroopai anungi anamai.,ABMgI srUpy AnµgI Anwmy ],1373
tribhungi trekalai anungi akamai. (188),iqRBMgI iqRkwly AnµgI Akwmy ]188],1376
AIK ACHRI CHHUND,eyk ACrI CMd ],1380
ajai| alai| abhai| abai (189),AjY ] AlY ] ABY ] AbY ]189],1382
abhoo| ajoo| anas| akas.(190),ABU ] AjU ] Anws ] Akws ]190],1385
agunj| abhunj| alkh| abhkh. (191),AgMj ] ABMj ] Al`K ] AB`K ]191],1387
akal| dayal| alaikh| abhaikh.(192),Akwl ] idAwl ] AlyK ] AByK ]192],1391
God is beyond name and desire. He is Unfathomable. He cannot be demolished. (193),Anwm ] Akwm ] Agwh ] AFwh ]193],1393
anathai| prmathai| ajoni| amoni. (194),AnwQy ] pRmwQy ] AjonI ] AmonI ]194],1397
na ragai| na rungai| na roopai| na raikhai. (195),n rwgy ] n rMgy ] n rUpy ] n ryKy ]195],1400
akarmun| abharmun| agunjai| alaikhai. (196),AkrmM ] ABrmM ] AgMjy ] AlyKy ]196],1403
BHUJUNG PRYAT CHHUND,BujMg pRXwq CMd ],1406
nmstul prnamai smstul prnasai,nmsqul pRxwmy smsqul pRxwsy ],1408
agunjal anamai smstul nivasai,AgMjul Anwmy smsqul invwsy ],1411
nirkamung bebhootai smstul sroopai,inRkwmM ibBUqy smsqul srUpy ],1415
kukrmun prnasi sudharmun bebhootai. (197),kukrmM pRxwsI suDrmM ibBUqy ]197],1418
sda sachdanund sutrun prnasi.,sdw s`icdwnµd s`qRM pRxwsI ],1421
kreemul kuninda smstul nivasi,krImul kuinµdw smsqul invwsI ],1425
ajaeib bebhootai gjaeib gneemai,Ajwieb ibBUqy gjwieb gnImy ],1429
hreeaun kreeaun kreemul rheemai. (198),hrIAM krIAM krImul rhImy ]198],1432
chatr chakr varti chatr chakr bhugtai,c`qR c`k® vrqI c`qR c`k® Bugqy ],1436
soyunbhv sobhun sarbda sarb jugtai,suXMBv suBM srbdw srb jugqy ],1439
dokalun prasi dayalun sroopai,dukwlµ pRxwsI idAwlµ srUpy ],1442
sda aung sungai abhungun bebhootai. (199),sdw AMg sMgy ABMgM ibBUqy ]199],1446
