English,Punjabi,Time
naanak sachay kee saachee kaar.,nwnk scy kI swcI kwr ],1079
aadays tisai aadays.,Awdysu iqsY Awdysu ],1081
aad aneel anaad anaahat jug jug ayko vays. ||31||,Awid AnIlu Anwid Anwhiq jugu jugu eyko vysu ]31],1082
ik doo jeebhou lakh hohi lakh hoveh lakh vees.,iek dU jIBO lK hoih lK hovih lK vIs ],1086
lakh lakh gayrhaa aakhee-ahi ayk naam jagdees.,lKu lKu gyVw AwKIAih eyku nwmu jgdIs ],1091
ayt raahi pat pavrhee-aa charhee-ai ho-ay ikees.,eyqu rwih piq pvVIAw cVIAY hoie iekIs ],1094
sun galaa aakaas kee keetaa aa-ee rees.,suix glw Awkws kI kItw AweI rIs ],1098
naanak nadree paa-ee-ai koorhee koorhai thees. ||32||,nwnk ndrI pweIAY kUVI kUVY TIs ]32],1101
aakhan jor chupai nah jor.,AwKix joru cupY nh joru ],1105
jor na mangan dayn na jor.,joru n mMgix dyix n joru ],1109
jor na jeevan maran nah jor.,joru n jIvix mrix nh joru ],1111
jor na raaj maal man sor.,joru n rwij mwil min soru ],1113
jor na surtee gi-aan veechaar.,joru n surqI igAwin vIcwir ],1115
jor na jugtee chhutai sansaar.,joru n jugqI CutY sMswru ],1117
jis hath jor kar vaykhai so-ay.,ijsu hiQ joru kir vyKY soie ],1120
naanak utam neech na ko-ay. ||33||,nwnk auqmu nIcu n koie ]33],1124
raatee rutee thitee vaar.,rwqI ruqI iQqI vwr ],1126
pavan paanee agnee paataal.,pvx pwxI AgnI pwqwl ],1129
tis vich Dhartee thaap rakhee Dharam saal.,iqsu ivic DrqI Qwip rKI Drm swl ],1132
tis vich jee-a jugat kay rang.,iqsu ivic jIA jugiq ky rMg ],1133
tin kay naam anayk anant.,iqn ky nwm Anyk Anµq ],1135
karmee karmee ho-ay veechaar.,krmI krmI hoie vIcwru ],1138
sachaa aap sachaa darbaar.,scw Awip scw drbwru ],1140
tithai sohan panch parvaan.,iqQY sohin pMc prvwxu ],1142
nadree karam pavai neesaan.,ndrI krim pvY nIswxu ],1143
kach pakaa-ee othai paa-ay.,kc pkweI EQY pwie ],1146
naanak ga-i-aa jaapai jaa-ay. ||34||,nwnk gieAw jwpY jwie ]34],1148
Dharam khand kaa ayho Dharam.,Drm KMf kw eyho Drmu ],1151
gi-aan khand kaa aakhhu karam.,igAwn KMf kw AwKhu krmu ],1153
kaytay pavan paanee vaisantar kaytay kaan mahays.,kyqy pvx pwxI vYsMqr kyqy kwn mhys ],1154
kaytay barmay ghaarhat gharhee-ahi roop rang kay vays.,kyqy brmy GwViq GVIAih rUp rMg ky vys ],1157
kaytee-aa karam bhoomee mayr kaytay kaytay Dhoo updays.,kyqIAw krm BUmI myr kyqy kyqy DU aupdys ],1161
kaytay ind chand soor kaytay kaytay mandal days.,kyqy ieMd cMd sUr kyqy kyqy mMfl dys ],1166
kaytay siDh buDh naath kaytay kaytay dayvee vays.,kyqy isD buD nwQ kyqy kyqy dyvI vys ],1170
kaytay dayv daanav mun kaytay kaytay ratan samund.,kyqy dyv dwnv muin kyqy kyqy rqn smuMd ],1175
kaytee-aa khaanee kaytee-aa banee kaytay paat narind.,kyqIAw KwxI kyqIAw bwxI kyqy pwq nirMd ],1179
kaytee-aa surtee sayvak kaytay naanak ant na ant. ||35||,kyqIAw surqI syvk kyqy nwnk AMqu n AMqu ]35],1183
gi-aan khand meh gi-aan parchand.,igAwn KMf mih igAwnu prcMfu ],1187
tithai naad binod kod anand.,iqQY nwd ibnod kof Anµdu ],1190
saram khand kee banee roop.,srm KMf kI bwxI rUpu ],1193
tithai ghaarhat gharhee-ai bahut anoop.,iqQY GwViq GVIAY bhuqu AnUpu ],1197
taa kee-aa galaa kathee-aa naa jaahi.,qw kIAw glw kQIAw nw jwih ],1200
jay ko kahai pichhai pachhutaa-ay.,jy ko khY ipCY pCuqwie ],1202
tithai gharhee-ai surat mat man buDh.,iqQY GVIAY suriq miq min buiD ],1204
tithai gharhee-ai suraa siDhaa kee suDh. ||36||,iqQY GVIAY surw isDw kI suiD ]36],1206
karam khand kee banee jor.,krm KMf kI bwxI joru ],1208
tithai hor na ko-ee hor.,iqQY horu n koeI horu ],1211
tithai joDh mahaabal soor.,iqQY joD mhwbl sUr ],1213
tin meh raam rahi-aa bharpoor.,iqn mih rwmu rihAw BrpUr ],1215
tithai seeto seetaa mahimaa maahi.,iqQY sIqo sIqw mihmw mwih ],1217
taa kay roop na kathnay jaahi.,qw ky rUp n kQny jwih ],1220
naa ohi mareh na thaagay jaahi.,nw Eih mrih n Twgy jwih ],1222
jin kai raam vasai man maahi.,ijn kY rwmu vsY mn mwih ],1225
tithai bhagat vaseh kay lo-a.,iqQY Bgq vsih ky loA ],1227
karahi anand sachaa man so-ay.,krih Anµdu scw min soie ],1229
sach khand vasai nirankaar.,sc KMif vsY inrMkwru ],1232
kar kar vaykhai nadar nihaal.,kir kir vyKY ndir inhwl ],1236
tithai khand mandal varbhand.,iqQY KMf mMfl vrBMf ],1238
jay ko kathai ta ant na ant.,jy ko kQY q AMq n AMq ],1240
tithai lo-a lo-a aakaar.,iqQY loA loA Awkwr ],1243
jiv jiv hukam tivai tiv kaar.,ijv ijv hukmu iqvY iqv kwr ],1246
vaykhai vigsai kar veechaar.,vyKY ivgsY kir vIcwru ],1248
naanak kathnaa karrhaa saar. ||37||,nwnk kQnw krVw swru ]37],1252
jat paahaaraa Dheeraj suni-aar.,jqu pwhwrw DIrju suinAwru ],1255
ahran mat vayd hathee-aar.,Ahrix miq vydu hQIAwru ],1257
bha-o khalaa agan tap taa-o.,Bau Klw Agin qp qwau ],1259
bhaaNdaa bhaa-o amrit tit dhaal.,BWfw Bwau AMimRqu iqqu Fwil ],1261
gharhee-ai sabad sachee taksaal.,GVIAY sbdu scI tkswl ],1264
jin ka-o nadar karam tin kaar.,ijn kau ndir krmu iqn kwr ],1267
naanak nadree nadar nihaal. ||38||,nwnk ndrI ndir inhwl ]38],1270
salok.,sloku ],1273
pavan guroo paanee pitaa maataa Dharat mahat.,pvxu gurU pwxI ipqw mwqw Driq mhqu ],1274
divas raat du-ay daa-ee daa-i-aa khaylai sagal jagat.,idvsu rwiq duie dweI dwieAw KylY sgl jgqu ],1279
chang-aa-ee-aa buri-aa-ee-aa vaachai Dharam hadoor.,cMigAweIAw buirAweIAw vwcY Drmu hdUir ],1286
karmee aapo aapnee kay nayrhai kay door.,krmI Awpo AwpxI ky nyVY ky dUir ],1290
jinee naam Dhi-aa-i-aa ga-ay maskat ghaal.,ijnI nwmu iDAwieAw gey mskiq Gwil ],1295
naanak tay mukh ujlay kaytee chhutee naal. ||1||,nwnk qy muK aujly kyqI CutI nwil ]1],1301
