English,Punjabi
kath kath kathee kotee kot kot., kiQ kiQ kQI kotI koit koit ] 
daydaa day laiday thak paahi., dydw dy lYdy Qik pwih ] 
jugaa jugantar khaahee khaahi., jugw jugMqir KwhI Kwih ] 
hukmee hukam chalaa-ay raahu., hukmI hukmu clwey rwhu ] 
naanak vigsai vayparvaahu. ||3||, nwnk ivgsY vyprvwhu ]3] 
saachaa saahib saach naa-ay bhaakhi-aa bhaa-o apaar., swcw swihbu swcu nwie BwiKAw Bwau Apwru ] 
aakhahi mangahi dahi dahi daat karay daataar., AwKih mMgih dyih dyih dwiq kry dwqwru ] 
fayr ke agai rakhee-ai jit disai darbaar., Pyir ik AgY rKIAY ijqu idsY drbwru ] 
muhou ke bolan bolee-ai jit sun Dharay pi-aar., muhO ik bolxu bolIAY ijqu suix Dry ipAwru ] 
amrit vaylaa sach naa-o vadi-aa-ee veechaar., AMimRq vylw scu nwau vifAweI vIcwru ] 
karmee aavai kaprhaa nadree mokh du-aar., krmI AwvY kpVw ndrI moKu duAwru ] 
naanak ayvai jaanee-ai sabh aapay sachiaar. ||4||, nwnk eyvY jwxIAY sBu Awpy sicAwru ]4] 
thaapi-aa na jaa-ay keetaa na ho-ay., QwipAw n jwie kIqw n hoie ] 
aapay aap niranjan so-ay., Awpy Awip inrMjnu soie ] 
jin sayvi-aa tin paa-i-aa maan., ijin syivAw iqin pwieAw mwnu ] 
naanak gaavee-ai gunee niDhaan., nwnk gwvIAY guxI inDwnu ] 
gaavee-ai sunee-ai man rakhee-ai bhaa-o., gwvIAY suxIAY min rKIAY Bwau ] 
dukh parhar sukh ghar lai jaa-ay., duKu prhir suKu Gir lY jwie ] 
gurmukh naadaN gurmukh vaydaN gurmukh rahi-aa samaa-ee., gurmuiK nwdM gurmuiK vydM gurmuiK rihAw smweI ] 
gur eesar gur gorakh barmaa gur paarbatee maa-ee., guru eIsru guru gorKu brmw guru pwrbqI mweI ] 
jay ha-o jaanaa aakhaa naahee kahnaa kathan na jaa-ee., jy hau jwxw AwKw nwhI khxw kQnu n jweI ] 
guraa ik dahi bujhaa-ee., gurw iek dyih buJweI ] 
sabhnaa jee-aa kaa ik daataa so mai visar na jaa-ee. ||5||, sBnw jIAw kw ieku dwqw so mY ivsir n jweI ]5] 
tirath naavaa jay tis bhaavaa vin bhaanay ke naa-ay karee., qIriQ nwvw jy iqsu Bwvw ivxu Bwxy ik nwie krI ] 
jaytee sirath upaa-ee vaykhaa vin karmaa ke milai la-ee., jyqI isriT aupweI vyKw ivxu krmw ik imlY leI ] 
mat vich ratan javaahar maanik jay ik gur kee sikh sunee., miq ivic rqn jvwhr mwixk jy iek gur kI isK suxI ] 
guraa ik dahi bujhaa-ee., gurw iek dyih buJweI ] 
sabhnaa jee-aa kaa ik daataa so mai visar na jaa-ee. ||6||, sBnw jIAw kw ieku dwqw so mY ivsir n jweI ]6] 
jay jug chaaray aarjaa hor dasoonee ho-ay., jy jug cwry Awrjw hor dsUxI hoie ] 
navaa khanda vich jaanee-ai naal chalai sabh ko-ay., nvw KMfw ivic jwxIAY nwil clY sBu koie ] 
changa naa-o rakhaa-ay kai jas keerat jag lay-ay., cMgw nwau rKwie kY jsu kIriq jig lyie ] 
jay tis nadar na aavee ta vaat na puchhai kay., jy iqsu ndir n AwveI q vwq n puCY ky ] 
keetaa andar keet kar dosee dos Dharay., kItw AMdir kItu kir dosI dosu Dry ] 
naanak nirgun gun karay gunvanti-aa gun day., nwnk inrguix guxu kry guxvMiqAw guxu dy ] 
tayhaa ko-ay na sujh-ee je tis gun ko-ay karay. ||7||, qyhw koie n suJeI ij iqsu guxu koie kry ]7] 
suni-ai siDh peer sur naath., suixAY isD pIr suir nwQ ] 
suni-ai Dharat Dhaval aakaas., suixAY Driq Dvl Awkws ] 
suni-ai deep lo-a paataal., suixAY dIp loA pwqwl ] 
suni-ai pohi na sakai kaal., suixAY poih n skY kwlu ] 
naanak bhagtaa sadaa vigaas., nwnk Bgqw sdw ivgwsu ] 
suni-ai dookh paap kaa naas. ||8||, suixAY dUK pwp kw nwsu ]8] 
suni-ai eesar barmaa ind., suixAY eIsru brmw ieMdu ] 
suni-ai mukh saalaahan mand., suixAY muiK swlwhx mMdu ] 
suni-ai jog jugat tan bhayd., suixAY jog jugiq qin Byd ] 
suni-ai saasat simrit vayd., suixAY swsq isimRiq vyd ] 
naanak bhagtaa sadaa vigaas., nwnk Bgqw sdw ivgwsu ] 
suni-ai dookh paap kaa naas. ||9||, suixAY dUK pwp kw nwsu ]9] 
suni-ai sat santokh gi-aan., suixAY squ sMqoKu igAwnu ] 
suni-ai athsath kaa isnaan., suixAY ATsiT kw iesnwnu ] 
suni-ai parh parh paavahi maan., suixAY piV piV pwvih mwnu ] 
suni-ai laagai sahj Dhi-aan., suixAY lwgY shij iDAwnu ] 
naanak bhagtaa sadaa vigaas., nwnk Bgqw sdw ivgwsu ] 
suni-ai dookh paap kaa naas. ||10||, suixAY dUK pwp kw nwsu ]10] 
suni-ai saraa gunaa kay gaah., suixAY srw guxw ky gwh ] 
suni-ai saykh peer paatisaah., suixAY syK pIr pwiqswh ] 
