English,Punjabi
sun galaa aakaas kee keetaa aa-ee rees., suix glw Awkws kI kItw AweI rIs ] 
naanak nadree paa-ee-ai koorhee koorhai thees. ||32||, nwnk ndrI pweIAY kUVI kUVY TIs ]32] 
aakhan jor chupai nah jor., AwKix joru cupY nh joru ] 
jor na mangan dayn na jor., joru n mMgix dyix n joru ] 
jor na jeevan maran nah jor., joru n jIvix mrix nh joru ] 
jor na raaj maal man sor., joru n rwij mwil min soru ] 
jor na surtee gi-aan veechaar., joru n surqI igAwin vIcwir ] 
jor na jugtee chhutai sansaar., joru n jugqI CutY sMswru ] 
jis hath jor kar vaykhai so-ay., ijsu hiQ joru kir vyKY soie ] 
naanak utam neech na ko-ay. ||33||, nwnk auqmu nIcu n koie ]33] 
raatee rutee thitee vaar., rwqI ruqI iQqI vwr ] 
pavan paanee agnee paataal., pvx pwxI AgnI pwqwl ] 
tis vich Dhartee thaap rakhee Dharam saal., iqsu ivic DrqI Qwip rKI Drm swl ] 
tis vich jee-a jugat kay rang., iqsu ivic jIA jugiq ky rMg ] 
tin kay naam anayk anant., iqn ky nwm Anyk Anµq ] 
karmee karmee ho-ay veechaar., krmI krmI hoie vIcwru ] 
sachaa aap sachaa darbaar., scw Awip scw drbwru ] 
tithai sohan panch parvaan., iqQY sohin pMc prvwxu ] 
nadree karam pavai neesaan., ndrI krim pvY nIswxu ] 
kach pakaa-ee othai paa-ay., kc pkweI EQY pwie ] 
naanak ga-i-aa jaapai jaa-ay. ||34||, nwnk gieAw jwpY jwie ]34] 
Dharam khand kaa ayho Dharam., Drm KMf kw eyho Drmu ] 
gi-aan khand kaa aakhhu karam., igAwn KMf kw AwKhu krmu ] 
kaytay pavan paanee vaisantar kaytay kaan mahays., kyqy pvx pwxI vYsMqr kyqy kwn mhys ] 
kaytay barmay ghaarhat gharhee-ahi roop rang kay vays., kyqy brmy GwViq GVIAih rUp rMg ky vys ] 
kaytee-aa karam bhoomee mayr kaytay kaytay Dhoo updays., kyqIAw krm BUmI myr kyqy kyqy DU aupdys ] 
kaytay ind chand soor kaytay kaytay mandal days., kyqy ieMd cMd sUr kyqy kyqy mMfl dys ] 
kaytay siDh buDh naath kaytay kaytay dayvee vays., kyqy isD buD nwQ kyqy kyqy dyvI vys ] 
kaytay dayv daanav mun kaytay kaytay ratan samund., kyqy dyv dwnv muin kyqy kyqy rqn smuMd ] 
kaytee-aa khaanee kaytee-aa banee kaytay paat narind., kyqIAw KwxI kyqIAw bwxI kyqy pwq nirMd ] 
kaytee-aa surtee sayvak kaytay naanak ant na ant. ||35||, kyqIAw surqI syvk kyqy nwnk AMqu n AMqu ]35] 
gi-aan khand meh gi-aan parchand., igAwn KMf mih igAwnu prcMfu ] 
tithai naad binod kod anand., iqQY nwd ibnod kof Anµdu ] 
saram khand kee banee roop., srm KMf kI bwxI rUpu ] 
tithai ghaarhat gharhee-ai bahut anoop., iqQY GwViq GVIAY bhuqu AnUpu ] 
taa kee-aa galaa kathee-aa naa jaahi., qw kIAw glw kQIAw nw jwih ] 
jay ko kahai pichhai pachhutaa-ay., jy ko khY ipCY pCuqwie ] 
tithai gharhee-ai surat mat man buDh., iqQY GVIAY suriq miq min buiD ] 
tithai gharhee-ai suraa siDhaa kee suDh. ||36||, iqQY GVIAY surw isDw kI suiD ]36] 
karam khand kee banee jor., krm KMf kI bwxI joru ] 
tithai hor na ko-ee hor., iqQY horu n koeI horu ] 
tithai joDh mahaabal soor., iqQY joD mhwbl sUr ] 
tin meh raam rahi-aa bharpoor., iqn mih rwmu rihAw BrpUr ] 
tithai seeto seetaa mahimaa maahi., iqQY sIqo sIqw mihmw mwih ] 
taa kay roop na kathnay jaahi., qw ky rUp n kQny jwih ] 
naa ohi mareh na thaagay jaahi., nw Eih mrih n Twgy jwih ] 
jin kai raam vasai man maahi., ijn kY rwmu vsY mn mwih ] 
tithai bhagat vaseh kay lo-a., iqQY Bgq vsih ky loA ] 
karahi anand sachaa man so-ay., krih Anµdu scw min soie ] 
sach khand vasai nirankaar., sc KMif vsY inrMkwru ] 
kar kar vaykhai nadar nihaal., kir kir vyKY ndir inhwl ] 
tithai khand mandal varbhand., iqQY KMf mMfl vrBMf ] 
jay ko kathai ta ant na ant., jy ko kQY q AMq n AMq ] 
tithai lo-a lo-a aakaar., iqQY loA loA Awkwr ] 
jiv jiv hukam tivai tiv kaar., ijv ijv hukmu iqvY iqv kwr ] 
vaykhai vigsai kar veechaar., vyKY ivgsY kir vIcwru ] 
naanak kathnaa karrhaa saar. ||37||, nwnk kQnw krVw swru ]37] 
jat paahaaraa Dheeraj suni-aar., jqu pwhwrw DIrju suinAwru ] 
ahran mat vayd hathee-aar., Ahrix miq vydu hQIAwru ] 
bha-o khalaa agan tap taa-o., Bau Klw Agin qp qwau ] 
bhaaNdaa bhaa-o amrit tit dhaal., BWfw Bwau AMimRqu iqqu Fwil ] 
gharhee-ai sabad sachee taksaal., GVIAY sbdu scI tkswl ] 
jin ka-o nadar karam tin kaar., ijn kau ndir krmu iqn kwr ] 
naanak nadree nadar nihaal. ||38||, nwnk ndrI ndir inhwl ]38] 
salok., sloku ] 
pavan guroo paanee pitaa maataa Dharat mahat., pvxu gurU pwxI ipqw mwqw Driq mhqu ] 
divas raat du-ay daa-ee daa-i-aa khaylai sagal jagat., idvsu rwiq duie dweI dwieAw KylY sgl jgqu ] 
chang-aa-ee-aa buri-aa-ee-aa vaachai Dharam hadoor., cMigAweIAw buirAweIAw vwcY Drmu hdUir ] 
karmee aapo aapnee kay nayrhai kay door., krmI Awpo AwpxI ky nyVY ky dUir ] 
jinee naam Dhi-aa-i-aa ga-ay maskat ghaal., ijnI nwmu iDAwieAw gey mskiq Gwil ] 
naanak tay mukh ujlay kaytee chhutee naal. ||1||, nwnk qy muK aujly kyqI CutI nwil ]1]
