English,Punjabi
"ajai hain, abai hain, abhoot hain, adhoot hain. (135) ",AjY hYN ] AbY hYN ] ABUq hYN ] ADUq hYN ]135]
"anas hain, odas hain, adhundh hain, abundh hain. (136) ",Anws hYN ] audws hYN ] ADMD hYN ] AbMD hYN ]136]
"abhagat hain, birkat hain, anas hain, parkas hain. (137) ",ABgq hYN ] ibrkq hYN ] Anws hYN ] pRkws hYN ]137]
"nechint hain, sonent hain, alikh hain, adikh hain. (138) ",inicMq hYN ] suinµq hYN ] Ail`K hYN ] Aid`K hYN ]138]
"alaikh hain, abhaikh hain, adhah hain, agah hain. (139) ",AlyK hYN ] AByK hYN ] AFwh hYN ] Agwh hYN ]139]
"asubh hain, agunbh hain, aneel hain, anadi hain. (140) ",AsMB hYN ] AgMB hYN ] AnIl hYN ] Anwid hYN ]140]
"anit hain, sunit hain, ajat hain, ajadi hain. (141) ",Ain`q hYN ] suin`q hYN ] Ajwq hYN ] Ajwd hYN ]141]
CHACHERI CHHUND TAV PARSAD (BY YOUR GRACE),crpt CMd ] qÍ pRswid ]
"sarbun hunta, sarbun gunta, ",srbM hMqw ] srbM gMqw ]
"sabun khiaata, sarbun giaata. (142) ",srbM iKAwqw ] srbM igAwqw ]142]
"sarbun hunta, sarbun karta, ",srbM hrqw ] srbM krqw ]
"sarbun pranun, sarbun tranun. (143) ",srbM pRwxM ] srbM qRwxM ]143]
"sabun karmun sabun dharmun, ",srbM krmM ] srbM DrmM ]
"sabun jugta, sabun mukta (144) ",srbM jugqw ] srbM mukqw ]144]
RASAVAL CHHUND TAV PARSAD (BY YOUR GRACE),rswvl CMd ] qÍ pRswid ]
"namo sarb nasai, sdaivai prkasai",nmo nrk nwsy ] sdYvM pRkwsy ]
"anungun sroopai, abhungun bebhootai (145) ",AnµgM srUpy ] ABMgM ibBUqy ]145]
"prmathun prmathai, sda sarb sathai",pRmwQM pRmwQy ] sdw srb swQy ]
"agadh sroopai, nirbadh bebhootai. (146) ",AgwD srUpy ] inRbwD ibBUqy ]146]
"anungi anamai, titbhungi tirkamai",AnµgI Anwmy ] iqRBMgI iqRkwmy ]
"nirbhungi sroopai, srbungi anoopai. (147) ",inRBMgI srUpy ] srbMgI AnUpy ]147]
"na potrai na putrai, na strai na mitrai.",n poqRY n pu`qRY ] n s`qRY n imqRY ]
"na tatai na matai, na jatai na patai. (148) ",n qwqY n mwqY ] n jwqY n pwqY ]148]
"nirsakun sreek hain, aunmto ameek hai",inRswkM srIk hYN ] Aimqo AmIk hYN ]
"sdaivun prabha hain, ajai hain aja hain. (149) ",sdYvM pRBw hYN ] AjY hYN Ajw hYN ]149]
BHAGWATI CHHUND TAV PARSAD (BY YOUR GRACE),BgvqI CMd ] qÍ pRswid ]
"keh zihr zhoor hain, keh hazr hzoor hain.",ik zwhr zhUr hYN ] ik hwzr jzUr hYN ]
"hmaisul slam hain, smstul klam hain. (150) ",hmysul slwm hYN ] smsqul klwm hYN ]150]
"keh sahib demag hain, keh husnul charag hain.",ik swihb idmwZ hYN ] ik husnl crwZ hYN ]
"keh kamal krim hain, keh razak rheem hain. (151) ",ik kwml krIm hYN ] ik rwzk rhIm hYN ]151]
"keh roji dehind hain, keh razak rhind hain",ik rozI idihMd hYN ] ik rwzk rihMd hYN ]
"kreemul kamal hain, keh husnul jamal hain. (152) ",krImul kmwl hYN ] ik husnl jmwl hYN ]152]
"gnimul kheraj hain, greebul nivaj hain",ZnImul i^rwj hYN ] ZrIbul invwz hYN ]
"hreephul shikun hain, herasul phekun hain. (153) ",hrI&ul iSkMn hYN ] ihrwsul iPkMn hYN ]153]
"klunkun prnas hain, smstul nivas hain.",klµkM pRxws hYN ] smsqul invws hYN ]
"agunjul gneem hain, rzaeik rheem hain. (154)",AgMjul gnIm hYN ] rzwiek rhIm hYN ]154]
"smstul zban hain,keh sahib keran hain",smsqul jubW hYN ] ik swihb ikrW hYN ]
"keh narkun prnas hain, behshtul nivas hain. (155) ",ik nrkM pRxws hYN ] bihsqul invws hYN ]155]
"keh sarbul gvnun hain, hamaisul rvun hain.",ik srbul gvMn hYN ] hmysul rvMn hYN ]
"tmamul tmeez hain, smstul aziz hain. (156) ",qmwmul qmIz hYN ] smsqul AzIz hYN ]156]
"prun prm eis hain, smstul adees hain.",prM prm eIs hYN ] smsqul AdIs hYN ]
"adaisul alaikh hain, hmaishul abhaikh hain. (157)",Adysul AlyK hYN ] hmysul AByK hYN ]157]
"zmeenul zma hain, ameekul eima hain",zmInul zmw hYN ] AmIkul iemw hYN ]
"kreemul kmal hain, keh jurat jmal hain. (158) ",krImul kmwl hYN ] ik jurAiq jmwl hYN ]158]
"keh achlun prkash hain, keh amito sobas hain",ik Aclµ pRkws hYN ] ik Aimqo subws hYN ]
"keh ajb sroop hain, keh amito bebhooti hain. (159) ",ik Ajb srUp hYN ] ik Aimqo ibBUq hYN ]159]
"keh amito psa hain, keh aatm prbha hain",ik Aimqo psw hYN ] ik Awqm pRBw hYN ]
"keh achlun anung hain, keh amito abhung hain. (160) ",ik Aclµ Anµg hYN ] ik Aimqo ABMg hYN ]160]
MDHUBHAR CHHUND TAV PARSAD (BY YOUR GRACE),mDuBwr CMd ] qÍ pRswid ]
"muni muni prnam, gun gn mudam",muin min pRnwm ] guin gn mudwm ]
"ari br agunj, hrinar prbhunj. (161) ",Air br AgMj ] hir nr pRBMj ]161]
"angn prnam, muni mun slam",An gn pRnwm ] muin min slwm ]
"har nar akhund, bur nur amund. (162)",hir nr AKMf ] br nr AmMf ]162]
"anbhav anas, muni mun parkas",AnBv Anws ] muin min pRkws ]
"gun gun prnam, jal thal mudam. (163) ",guin gn pRnwm ] jl Ql mudwm ]163]
"anchij aung, aasan abhung.",AniC`j AMg ] Awsn ABMg ]
"oopma apar, gati mit oodar. (164) ",aupmw Apwr ] giq imiq audwr ]164]
"jal thal amund, dis vis abhund.",jl Ql AmMf ] ids ivs ABMf ]
"jal thal mhunt, dis vis baiaunt. (165) ",jl Ql mhMq ] ids ivs ibAMq ]165]
"naubhv anas, dhirti dhar dhuras.",AnBv Anws ] iDRq Dr Durws ]
"aajan bah, aikai sdahu. (166) ",Awjwn bwhu ] eykY sdwhu ]166]
"Oaunkar adi, kthni anadi.",EAMkwr Awid ] kQnI Anwid ]
"khal khund khial, gur bur akal. (167) ",Kl KMf iKAwl ] gurbr Akwl ]167]
"ghar ghar prnam, chiti charn namu.",Gr Gir pRnwm ] icq crn nwm ]
"aachij gat, aajij na bat. (168) ",AniC`j gwq ] Awijj n bwq ]168]
"anjhunj gat, anrunj bat.",AnJMJ gwq ] AnrMj bwq ]
"antut bhundar, antht apar. (169) ",Antut BMfwr ] AnTt Apwr ]169]
"aadeeth dharam, ati dheeth karm.",AwfIT Drm ] Aiq FIT krm ]
"anbrn anunt, data mhunt. (170) ",AxbRx Anµq ] dwqw mhMq ]170]
HARBOLMANA CHHUND TAV PARSAD (BY YOUR GRACE),hirbolmnw CMd ] qÍ pRswid ]
"karunalay hain, ari ghalay hain.",kruxwlX hYN ] Air GwlX hYN ]
"khal khandan hain, meh mundan hain.(171) ",Kl KMfn hYN ] mih mMfn hYN ]171]
"jugtaisver hain, prmaisver hain.",jgqysÍr hYN ] prmysÍr hYN ]
"kli karan hain, sarb oobaran hain. (172)",kil kwrx hYN ] srb aubwrx hYN ]172]
"dhirt kai dharan hain, jug kai krn hain.",iDRq ky Drx hYN ] jg ky krx hYN ]
mun maniay hain jug janniay hain. (173) ,mn mwinX hYN ] jg jwinX hYN ]173]
"sabun bhar hain, sabun kur hain.",srbM Br hYN ] srbM kr hYN ]
"sarb pasiay hain, sarb nasiay hain. (174) ",srb pwisX hYN ] srb nwisX hYN ]174]
"krunakr hain, besvunbhr hain.",kruxwkr hYN ] ibsÍMBr hYN ]
"srbaisver hain, jgtaisver hain. (175) ",srbysÍr hYN ] jgqysÍr hYN ]175]
"brhmundas hain, khal khundas hain.",bRhmMfs hYN ] Kl KMfs hYN ]
"pur tai pur hain, krunakr hain. (176) ",pr qy pr hYN ] kruxwkr hYN ]176]
"ajpajp hain, athpathp hain.",Ajpw jp hYN ] AQpw Qp hYN ]
"akirtakirti hain, aumritamirt hain. (177) ",Aik®qw ik®q hYN ] AimRqw imRq hYN ]177]
"amiritamrit hain, krunakirti hain.",AMimRqw imRq hYN ] krxw ik®q hYN ]
"akirtakirti hain, dhurni dhirti hain. (178) ",Aik®qw ik®q hYN ] DrxI iDRq hYN ]178]
"ametaisver hain, prmaisver hain.",AimRqysÍr hYN ] prmysÍr hYN ]
"akirtakirt hain, amirtamirt hain. (179) ",Aik®qw ik®q hYN ] AimRqw imRq hYN ]179]
"ajbakirt hain, amirtamirt hain.",Ajbw ik®q hYN ] AimRqw imRq hYN ]
"nar naeik hain, khal ghaeik hain. (180) ",nr nwiek hYN ] Kl Gwiek hYN ]180]
"besvunbhur hain, krunalay hain.",ibsÍMBr hYN ] kruxwlX hYN ]
"nirpnaeik hain, sarb paeik hain. (181) ",inRp nwiek hYN ] srb pwiek hYN ]181]
"bhav bhunjan hain, ari gujan hain.",Bv BMjn hYN ] Air gMjn hYN ]
"ripu tapan hain, jup japn hain. (182) ",irpu qwpn hYN ] jpu jwpn hYN ]182]
"aklunkit hain, sarbakirti hain.",Aklµ ik®q hYN ] srbw ik®q hYN ]
"karta kar hain, harta hur hain. (183) ",krqw kr hYN ] hrqw hir hYN ]183]
"prmatm hain, sarbatm hain.",prmwqm hYN ] srb Awqm hYN ]
"aatm bus hain, jus kai jus hain. (184) ",Awqm bs hYN ] js ky js hYN ]184]
BHUYUNG PRYAT CHHUND,BujMg pRXwq CMd ]
namo sooraj soorjai amo chund chundrai,nmo sUrj sUrjy nmo cMdR cMdRy ]
namo raj rajai namo eindr eindrai.,nmo rwj rwjy nmo ieMdR ieMdRy ]
namo audhkarai namo taij taijai,nmo AMDkwry nmo qyj qyjy ]
namo birund birundai namo bij bijai. (185) ,nmo ibMRd ibMRdy nmo bIj bIjy ]185]
namo rajsun tamsun sant roopai,nmo rwjsM qwmsM sWq rUpy ]
namo prm tutai atutun sroopai,nmo prm q`qM Aq`qM srUpy ]
namo jog jogai namo gian gianai,nmo jog jogy nmo igAwn igAwny ]
namo muntrun muntrai namo dhian dhianai. (186) ,nmo mMqR mMqRy nmo iDAwn iDAwny ]186]
namo judh judhai namo gian gianai.,nmo juD juDy nmo igAwn igAwny ]
 namo bhoj bhojai namo pan panai.,nmo Boj Bojy nmo pwn pwny ]
namo kleh karta namo santi roopai. ,nmo klh krqw nmo sWq rUpy ]
namo einder eindrai anandun bebhootai. (187) ,nmo ieMdR ieMdRy AnwdM ibBUqy ]187]
klunkar roopai alunkar alunkai. ,klµkwr rUpy Alµkwr Alµky ]
namo aas aasai namo bank bunkai.,nmo Aws Awsy nmo bWk bMky ]
abhungi sroopai anungi anamai. ,ABMgI srUpy AnµgI Anwmy ]
tribhungi trekalai anungi akamai. (188) ,iqRBMgI iqRkwly AnµgI Akwmy ]188]
AIK ACHRI CHHUND,eyk ACrI CMd ]
"ajai, alai, abhai, abai (189) ",AjY ] AlY ] ABY ] AbY ]189]
"abhoo, ajoo, anas, akas.(190) ",ABU ] AjU ] Anws ] Akws ]190]
"agunj, abhunj, alkh, abhkh. (191) ",AgMj ] ABMj ] Al`K ] AB`K ]191]
"akal, dayal, alaikh, abhaikh.(192) ",Akwl ] idAwl ] AlyK ] AByK ]192]
God is beyond name and desire. He is Unfathomable. He cannot be demolished. (193),Anwm ] Akwm ] Agwh ] AFwh ]193]
"anathai, prmathai, ajoni, amoni. (194) ",AnwQy ] pRmwQy ] AjonI ] AmonI ]194]
"na ragai, na rungai, na roopai, na raikhai. (195)",n rwgy ] n rMgy ] n rUpy ] n ryKy ]195]
"akarmun, abharmun, agunjai, alaikhai. (196) ",AkrmM ] ABrmM ] AgMjy ] AlyKy ]196]
BHUJUNG PRYAT CHHUND,BujMg pRXwq CMd ]
nmstul prnamai smstul prnasai,nmsqul pRxwmy smsqul pRxwsy ]
agunjal anamai smstul nivasai,AgMjul Anwmy smsqul invwsy ]
nirkamung bebhootai smstul sroopai,inRkwmM ibBUqy smsqul srUpy ]
kukrmun prnasi sudharmun bebhootai. (197) ,kukrmM pRxwsI suDrmM ibBUqy ]197]
sda sachdanund sutrun prnasi.,sdw s`icdwnµd s`qRM pRxwsI ]
kreemul kuninda smstul nivasi,krImul kuinµdw smsqul invwsI ]
ajaeib bebhootai gjaeib gneemai,Ajwieb ibBUqy gjwieb gnImy ]
hreeaun kreeaun kreemul rheemai. (198) ,hrIAM krIAM krImul rhImy ]198]
chatr chakr varti chatr chakr bhugtai,c`qR c`k® vrqI c`qR c`k® Bugqy ]
soyunbhv sobhun sarbda sarb jugtai,suXMBv suBM srbdw srb jugqy ]
dokalun prasi dayalun sroopai,dukwlµ pRxwsI idAwlµ srUpy ]
sda aung sungai abhungun bebhootai. (199) ,sdw AMg sMgy ABMgM ibBUqy ]199]
