English,Punjabi
"adhai hain, abhai hain, ajeet hain, abheet hain. (31) ",ADy hYN ] ABy hYN ] AjIq hYN ] ABIq hYN ]31]
"tireman hain. nidhan hain, tirburg hain, asarg hain. (32) ",iqRmwn hYN ] inDwn hYN ] iqRbrg hYN ] Asrg hYN ]32]
"anil hain, anadi hain, ajai hain, ajadi hain. (33)",AnIl hYN ] Anwid hYN ] Ajy hYN ] Ajwid hYN ]33]
"ajanam hain, abarn hain, abhoot hain, abharan hain. (34) ",Ajnm hYN ] Abrn hYN ] ABUq hYN ] ABrn hYN ]34]
"agunj hain, abhunj hain, ajoojh hain, ajhunjh hain. (35) ",AgMj hYN ] ABMj hYN ] AJUJ hYN ] AJMJ hYN ]35]
"amik hain, rafiq hain, adhundh hain, abundh hai. (36) ",AmIk hYN ] r&Ik hYN ] ADMD hYN ] AbMD hYN ]36]
"nirboojh hain, asoojh hain, akal hain, ajal hain. (37) ",inRbUJ hYN ] AsUJ hYN ] Akwl hYN ] Ajwl hYN ]37]
"alah hain, ajah hain, anunt hain, mahunt hain. (38) ",Alwh hYN ] Ajwh hYN ] Anµq hYN ] mhMq hYN ]38]
"aleek hain, nirsrik hain, nirlumbh hain, asumbh hain. (39) ",AlIk hYN ] inRsIk hYN ] inRlµB hYN ] AsMB hYN ]39]
"agum hain, ajum hain, abhoot hai, achoot hain. (40) ",AgMm hYN ] AjMm hYN ] ABUq hYN ] ACUq hYN ]40]
"alok hain, ashok hain, akaram hain, abharm hain. (41) ",Alok hYN ] Asok hYN ] Akrm hYN ] ABrm hYN ]41]
"ajit hain, abheet hain, atha hain, agah hain. (42) ",AjIq hYN ] ABIq hYN ] Abwh hYN ] Agwh hYN ]42]
"aman hain, nidhan hain, anaik hain, phir aik hain. (43) ",Amwn hYN ] inDwn hYN ] Anyk hYN ] iPr eyk hYN ]43]
BHUJUNG PARYAT CHUND,BujMg pRXwq CMd ]
"namo sarb manai, smasti nidhanai",nmo srb mwny ] smsqI inDwny ]
"namo dev devai, abhaikhi abhaivai. (44) ",nmo dyv dyvy ] AByKI AByvy ]44]
"namo kal kalai, namo sarb palai.",nmo kwl kwly ] nmo srb pwly ]
"namo sarb gounai, namo sarb bhounai. (45) ",nmo srb gauxy ] nmo srb Bauxy ]45]
"anungi anathai, nirsungi parmathai",AnµgI AnwQy ] inRsMgI pRmwQy ]
"namo bhan bhanai, namo man manai. (46)",nmo Bwn Bwny ] nmo mwn mwny ]46]
"namo chundar chundrai, mamo bhan bhanai",nmo cMdR cMdRy ] nmo Bwn Bwny ]
"namo geet geetai , namo tan tanai. (47) ",nmo gIq gIqy ] nmo qwn qwny ]47]
"namo nirat nirtai, namo nad nadai",nmo inrq inrqy ] nmo nwd nwdy ]
"namo pan panai, namo bad badai. (48) ",nmo pwn pwny ] nmo bwd bwdy ]48]
"anungi anamai, smusti sroopai",AnµgI Anwmy ] smsqI srUpy ]
"parbhungi parmathai, smusti bebhootai. (49) ",pRBMgI pRmwQy ] smsqI ibBUqy ]49]
"klunkun bina, naiklunki sroopai.",klµkM ibnw ny klµkI srUpy ]
namo raj rajai svrun parm roopai. (50) ,nmo rwj rwjy sÍrM prm rUpy ]50]
"namo jog jogai, svrun parm sidhai.",nmo jog jogy sÍrM prm is`Dy ]
"namo raj rajai, svrun parm birdhai. (51) ",nmo rwj rwjy sÍrM prm ibRDy ]51]
"namo sustar panai, namo astar manai.",nmo ssqR pwxy ] nmo AsqR mwxy ]
"namo parm gayata, namo lok mata. (52) ",nmo prm igAwqw ] nmo lok mwqw ]52]
abhaikhi abharmi abhogi abhugtai,AByKI ABrmI ABogI ABugqy ]
namo jog jogai svrun parm jugtai. (53) ,nmo jog jogy sÍrM prm jugqy ]53]
namo nit narayanai karoor karmai,nmo in`q nwrwiexy k®¨r krmy ]
namo prait aprait daivai sodharmai. (54) ,nmo pRyq ApRyq dyvy suDrmy ]54]
"namo rog harta, namo rag roopai.",nmo rog hrqw ] nmo rwg rUpy ]
"namo shah shahai, namo bhoop bhoopai. (55) ",nmo swh swhM ] nmo BUp BUpy ]55]
"namo dan danai,namo maun maunai",nmo dwn dwny ] nmo mwn mwny ]
"namo rog rogai, namustun eisnanun. (56) ",nmo rog rogy nmsqM iesnwnµ ]56]
"namo muntar muntrun, namo juntar juntrun",nmo mMqR mMqRM ] nmo jMqR jMqRM ]
"namo eist eistai, namo tuntar tuntrun. (57) ",nmo iest iesty ] nmo qMqR qMqRM ]57]
sada sachdanund sarbun pransi,sdw s`cdwnµd srbM pRxwsI ]
anoopai sroopai smustul nivasi. (58) ,AnUpy ArUpy smsquil invwsI ]58]
sada sidhi -da budhi -da bridhi karta,sdw isDdw buDdw ibRD krqw ]
adho oordh ardhun aghun ogh harta (59) ,ADo aurD ArDM AGM EG hrqw ]59]
prun parm parmesaisvrun proch palun,prm prm prmysÍrM pRoC pwlµ ]
sada sarbda sidhi data dyalun. (60) ,sdw srbdw is`D dwqw idAwlµ ]60]
achaidi abhaidi anamun akamun,ACydI ABydI AnwmM AkwmM ]
