English,Punjabi
jin din kar kai keetee raat.,ijin idnu kir kY kIqI rwiq ] 
khasam visaareh tay kamjaat.,Ksmu ivswrih qy kmjwiq ] 
naanak naavai baajh sanaat. ||4||3||,nwnk nwvY bwJu snwiq ]4]3] 
raag goojree mehlaa 4.,rwgu gUjrI mhlw 4 ]
har kay jan satgur satpurkhaa bina-o kara-o gur paas.,hir ky jn siqgur sqpurKw ibnau krau gur pwis ] 
ham keeray kiram satgur sarnaa-ee kar da-i-aa naam pargaas. ||1||,hm kIry ikrm siqgur srxweI kir dieAw nwmu prgwis ]1] 
mayray meet gurdayv mo ka-o raam naam pargaas.,myry mIq gurdyv mo kau rwm nwmu prgwis ] 
gurmat naam mayraa paraan sakhaa-ee har keerat hamree rahraas. ||1|| rahaa-o.,gurmiq nwmu myrw pRwn sKweI hir kIriq hmrI rhrwis ]1] rhwau ] 
har jan kay vad bhaag vadayray jin har har sarDhaa har pi-aas.,hir jn ky vf Bwg vfyry ijn hir hir srDw hir ipAws ] 
har har naam milai tariptaasahi mil sangat gun pargaas. ||2||,hir hir nwmu imlY iqRpqwsih imil sMgiq gux prgwis ]2] 
jin har har har ras naam na paa-i-aa tay bhaagheen jam paas.,ijn hir hir hir rsu nwmu n pwieAw qy BwghIx jm pwis ] 
jo satgur saran sangat nahee aa-ay Dharig jeevay Dharig jeevaas. ||3||,jo siqgur srix sMgiq nhI Awey iDRgu jIvy iDRgu jIvwis ]3] 
jin har jan satgur sangat paa-ee tin Dhur mastak likhi-aa likhaas.,ijn hir jn siqgur sMgiq pweI iqn Duir msqik iliKAw ilKwis ] 
Dhan Dhan satsangat jit har ras paa-i-aa mil jan naanak naam pargaas. ||4||4||,Dnu DMnu sqsMgiq ijqu hir rsu pwieAw imil jn nwnk nwmu prgwis ]4]4] 
raag goojree mehlaa 5.,rwgu gUjrI mhlw 5 ]
kaahay ray man chitvahi udam jaa aahar har jee-o pari-aa.,kwhy ry mn icqvih audmu jw Awhir hir jIau pirAw ] 
sail pathar meh jant upaa-ay taa kaa rijak aagai kar Dhari-aa. ||1||,sYl pQr mih jMq aupwey qw kw irjku AwgY kir DirAw ]1] 
mayray maaDha-o jee satsangat milay so tari-aa.,myry mwDau jI sqsMgiq imly su qirAw ] 
gur parsaad param pad paa-i-aa sookay kaasat hari-aa. ||1|| rahaa-o.,gur prswid prm pdu pwieAw sUky kwst hirAw ]1] rhwau ] 
janan pitaa lok sut banitaa ko-ay na kis kee Dhari-aa.,jnin ipqw lok suq binqw koie n iks kI DirAw ] 
sir sir rijak sambaahay thaakur kaahay man bha-o kari-aa. ||2||,isir isir irjku sMbwhy Twkuru kwhy mn Bau kirAw ]2] 
ooday ood aavai sai kosaa tis paachhai bachray chhari-aa.,aUfy aUif AwvY sY kosw iqsu pwCY bcry CirAw ] 
tin kavan khalaavai kavan chugaavai man meh simran kari-aa. ||3||,iqn kvxu KlwvY kvxu cugwvY mn mih ismrnu kirAw ]3] 
sabh niDhaan das asat sidhaan thaakur kar tal Dhari-aa.,siB inDwn ds Ast isDwn Twkur kr ql DirAw ] 
jan naanak bal bal sad bal jaa-ee-ai tayraa ant na paraavari-aa. ||4||5||,jn nwnk bil bil sd bil jweIAY qyrw AMqu n pwrwvirAw ]4]5] 
raag aasaa mehlaa 4 so purakh,rwgu Awsw mhlw 4 so purKu
ik-oNkaar satgur parsaad.,siqgur pRswid ]
so purakh niranjan har purakh niranjan har agmaa agam apaaraa.,so purKu inrMjnu hir purKu inrMjnu hir Agmw Agm Apwrw ] 
sabh Dhi-aavahi sabh Dhi-aavahi tuDh jee har sachay sirjanhaaraa.,siB iDAwvih siB iDAwvih quDu jI hir scy isrjxhwrw ] 
sabh jee-a tumaaray jee tooN jee-aa kaa daataaraa.,siB jIA qumwry jI qUM jIAw kw dwqwrw ] 
har Dhi-aavahu santahu jee sabh dookh visaaranhaaraa.,hir iDAwvhu sMqhu jI siB dUK ivswrxhwrw ] 
har aapay thaakur har aapay sayvak jee ki-aa naanak jant vichaaraa. ||1||,hir Awpy Twkuru hir Awpy syvku jI ikAw nwnk jMq ivcwrw ]1] 
tooN ghat ghat antar sarab nirantar jee har ayko purakh samaanaa.,qUM Gt Gt AMqir srb inrMqir jI hir eyko purKu smwxw ] 
ik daatay ik bhaykhaaree jee sabh tayray choj vidaanaa.,ieik dwqy ieik ByKwrI jI siB qyry coj ivfwxw ] 
tooN aapay daataa aapay bhugtaa jee ha-o tuDh bin avar na jaanaa.,qUM Awpy dwqw Awpy Bugqw jI hau quDu ibnu Avru n jwxw ] 
tooN paarbarahm bay-ant bay-ant jee tayray ki-aa gun aakh vakhaanaa.,qUM pwrbRhmu byAMqu byAMqu jI qyry ikAw gux AwiK vKwxw ] 
jo sayveh jo sayveh tuDh jee jan naanak tin kurbaanaa. ||2||,jo syvih jo syvih quDu jI jnu nwnku iqn kurbwxw ]2] 
har Dhi-aavahi har Dhi-aavahi tuDh jee say jan jug meh sukhvaasee.,hir iDAwvih hir iDAwvih quDu jI sy jn jug mih suKvwsI ] 
say mukat say mukat bha-ay jin har Dhi-aa-i-aa jee tin tootee jam kee faasee.,sy mukqu sy mukqu Bey ijn hir iDAwieAw jI iqn qUtI jm kI PwsI ] 
jin nirbha-o jin har nirbha-o Dhi-aa-i-aa jee tin kaa bha-o sabh gavaasee.,ijn inrBau ijn hir inrBau iDAwieAw jI iqn kw Bau sBu gvwsI ] 
jin sayvi-aa jin sayvi-aa mayraa har jee tay har har roop samaasee.,ijn syivAw ijn syivAw myrw hir jI qy hir hir rUip smwsI ] 
say Dhan say Dhan jin har Dhi-aa-i-aa jee jan naanak tin bal jaasee. ||3||,sy DMnu sy DMnu ijn hir iDAwieAw jI jnu nwnku iqn bil jwsI ]3] 
tayree bhagat tayree bhagat bhandaar jee bharay bi-ant bay-antaa.,qyrI Bgiq qyrI Bgiq BMfwr jI Bry ibAMq byAMqw ] 
tayray bhagat tayray bhagat salaahan tuDh jee har anik anayk anantaa.,qyry Bgq qyry Bgq slwhin quDu jI hir Aink Anyk Anµqw ] 
tayree anik tayree anik karahi har poojaa jee tap taapeh jaapeh bay-antaa.,qyrI Aink qyrI Aink krih hir pUjw jI qpu qwpih jpih byAMqw ] 
tayray anayk tayray anayk parheh baho simrit saasat jee kar kiri-aa khat karam karantaa.,qyry Anyk qyry Anyk pVih bhu isimRiq swsq jI kir ikirAw Ktu krm krMqw ] 
say bhagat say bhagat bhalay jan naanak jee jo bhaaveh mayray har bhagvantaa. ||4||,sy Bgq sy Bgq Bly jn nwnk jI jo Bwvih myry hir BgvMqw ]4] 
tooN aad purakh aprampar kartaa jee tuDh jayvad avar na ko-ee.,qUM Awid purKu AprMpru krqw jI quDu jyvfu Avru n koeI ] 
tooN jug jug ayko sadaa sadaa tooN ayko jee tooN nihchal kartaa so-ee.,qUM jugu jugu eyko sdw sdw qUM eyko jI qUM inhclu krqw soeI ] 
tuDh aapay bhaavai so-ee vartai jee tooN aapay karahi so ho-ee.,quDu Awpy BwvY soeI vrqY jI qUM Awpy krih su hoeI ] 
tuDh aapay sarisat sabh upaa-ee jee tuDh aapay siraj sabh go-ee.,quDu Awpy isRsit sB aupweI jI quDu Awpy isrij sB goeI ] 
jan naanak gun gaavai kartay kay jee jo sabhsai kaa jaano-ee. ||5||1||,jnu nwnku gux gwvY krqy ky jI jo sBsY kw jwxoeI ]5]1] 
aasaa mehlaa 4.,Awsw mhlw 4 ]
tooN kartaa sachiaar maidaa saaN-ee.,qUM krqw sicAwru mYfw sWeI ] 
jo ta-o bhaavai so-ee theesee jo tooN deh so-ee ha-o paa-ee. ||1|| rahaa-o.,jo qau BwvY soeI QIsI jo qUM dyih soeI hau pweI ]1] rhwau ] 
sabh tayree tooN sabhnee Dhi-aa-i-aa.,sB qyrI qUM sBnI iDAwieAw ] 
jis no kirpaa karahi tin naam ratan paa-i-aa.,ijs no ik®pw krih iqin nwm rqnu pwieAw ] 
gurmukh laaDhaa manmukh gavaa-i-aa.,gurmuiK lwDw mnmuiK gvwieAw ] 
tuDh aap vichhorhi-aa aap milaa-i-aa. ||1||,quDu Awip ivCoiVAw Awip imlwieAw ]1] 
tooN daree-aa-o sabh tujh hee maahi.,qUM drIAwau sB quJ hI mwih ] 
tujh bin doojaa ko-ee naahi.,quJ ibnu dUjw koeI nwih ] 
jee-a jant sabh tayraa khayl.,jIA jMq siB qyrw Kylu ] 
vijog mil vichhurhi-aa sanjogee mayl. ||2||,ivjoig imil ivCuiVAw sMjogI mylu ]2] 
jis no too jaanaa-ihi so-ee jan jaanai.,ijs no qU jwxwieih soeI jnu jwxY ] 
har gun sad hee aakh vakhaanai.,hir gux sd hI AwiK vKwxY ] 
jin har sayvi-aa tin sukh paa-i-aa.,ijin hir syivAw iqin suKu pwieAw ] 
sehjay hee har naam samaa-i-aa. ||3||,shjy hI hir nwim smwieAw ]3] 
too aapay kartaa tayraa kee-aa sabh ho-ay.,qU Awpy krqw qyrw kIAw sBu hoie ] 
tuDh bin doojaa avar na ko-ay.,quDu ibnu dUjw Avru n koie ] 
too kar kar vaykheh jaaneh so-ay.,qU kir kir vyKih jwxih soie ] 
jan naanak gurmukh pargat ho-ay. ||4||2||,jn nwnk gurmuiK prgtu hoie ]4]2]
aasaa mehlaa 1.,Awsw mhlw 1 ]
tit saravrarhai bha-eelay nivaasaa paanee paavak tineh kee-aa.,iqqu srvrVY BeIly invwsw pwxI pwvku iqnih kIAw ] 
pankaj moh pag nahee chaalai ham daykhaa tah doobee-alay. ||1||,pMkju moh pgu nhI cwlY hm dyKw qh fUbIAly ]1] 
man ayk na chaytas moorh manaa.,mn eyku n cyqis mUV mnw ] 
har bisrat tayray gun gali-aa. ||1|| rahaa-o.,hir ibsrq qyry gux gilAw ]1] rhwau ] 
naa ha-o jatee satee nahee parhi-aa moorakh mugDhaa janam bha-i-aa.,nw hau jqI sqI nhI piVAw mUrK mugDw jnmu BieAw ] 
paranvat naanak tin kee sarnaa jin too naahee veesri-aa. ||2||3||,pRxviq nwnk iqn kI srxw ijn qU nwhI vIsirAw ]2]3] 
aasaa mehlaa 5.,Awsw mhlw 5 ]
bha-ee paraapat maanukh dayhuree-aa.,BeI prwpiq mwnuK dyhurIAw ] 
